artist_display_name,member_name,member_bday
GOT7,JAY B,
GOT7,마크,
GOT7,잭슨,
GOT7,박진영,
GOT7,영재,
GOT7,뱀뱀,
GOT7,유겸,
NEXZ,토모야,
NEXZ,유우,
NEXZ,하루,
NEXZ,소,
NEXZ,건,
NEXZ,세이타,
NEXZ,휴이,
NEXZ,유키,
뉴이스트,JR,
뉴이스트,아론,
뉴이스트,백호,
뉴이스트,민현,
뉴이스트,렌,
NewJeans,민지,
NewJeans,하니,
NewJeans,다니엘,
NewJeans,해린,
NewJeans,혜인,
더보이즈,상연,
더보이즈,제이콥,
더보이즈,영훈,
더보이즈,현재,
더보이즈,주연,
더보이즈,케빈,
더보이즈,뉴,
더보이즈,큐,
더보이즈,주학년,
더보이즈,선우,
더보이즈,에릭,
DAY6,성진,
DAY6,Young K,
DAY6,원필,
DAY6,도운,
드림캐쳐,지유,
드림캐쳐,수아,
드림캐쳐,시연,
드림캐쳐,유현,
드림캐쳐,다미,
드림캐쳐,한동,
드림캐쳐,가현,
RIIZE,쇼타로,
RIIZE,은석,
RIIZE,성찬,
RIIZE,원빈,
RIIZE,소희,
RIIZE,앤톤,
Red Velvet,웬디,
Red Velvet,아이린,
Red Velvet,슬기,
Red Velvet,조이,
Red Velvet,예리,
LUN8,진수,
LUN8,카엘,
LUN8,타쿠마,
LUN8,준우,
LUN8,도현,
LUN8,이안,
LUN8,지은호,
LUN8,유우마,
LE SSERAFIM,김채원,
LE SSERAFIM,사쿠라,
LE SSERAFIM,허윤진,
LE SSERAFIM,카즈하,
LE SSERAFIM,홍은채,
마마무,솔라,
마마무,문별,
마마무,휘인,
마마무,화사,
몬스타엑스,셔누,
몬스타엑스,민혁,
몬스타엑스,기현,
몬스타엑스,형원,
몬스타엑스,주헌,
몬스타엑스,아이엠,
방탄소년단,RM,
방탄소년단,진,
방탄소년단,슈가,
방탄소년단,제이홉,
방탄소년단,지민,
방탄소년단,뷔,
방탄소년단,정국,
VERIVERY,동헌,
VERIVERY,호영,
VERIVERY,민찬,
VERIVERY,계현,
VERIVERY,연호,
VERIVERY,용승,
VERIVERY,강민,
BABYMONSTER,루카,
BABYMONSTER,파리타,
BABYMONSTER,아사,
BABYMONSTER,아현,
BABYMONSTER,라미,
BABYMONSTER,로라,
BABYMONSTER,치키타,
BOYNEXTDOOR,성호,
BOYNEXTDOOR,명재현,
BOYNEXTDOOR,태산,
BOYNEXTDOOR,이한,
BOYNEXTDOOR,운학,
BLACKPINK,지수,
BLACKPINK,제니,
BLACKPINK,로제,
BLACKPINK,리사,
VIVIZ,은하,
VIVIZ,신비,
VIVIZ,엄지,
B1A4,신우,
B1A4,산들,
B1A4,공찬,
비투비,서은광,
비투비,이민혁,
비투비,이창섭,
비투비,임현식,
비투비,프니엘,
비투비,육성재,
Billlie,시윤,
Billlie,션,
Billlie,츠키,
Billlie,문수아,
Billlie,하람,
Billlie,수현,
Billlie,하루나,
SHINee,온유,
SHINee,종현,
SHINee,Key,
SHINee,민호,
SHINee,태민,
세븐틴,에스쿱스,
세븐틴,정한,
세븐틴,조슈아,
세븐틴,준,
세븐틴,호시,
세븐틴,원우,
세븐틴,우지,
세븐틴,디에잇,
세븐틴,민규,
세븐틴,도겸,
세븐틴,승관,
세븐틴,버논,
세븐틴,디노,
SAY MY NAME,히토미,
SAY MY NAME,메이,
SAY MY NAME,카니,
SAY MY NAME,도희,
SAY MY NAME,준희,
SAY MY NAME,소하,
SAY MY NAME,승주,
소녀시대,태연,
소녀시대,써니,
소녀시대,티파니,
소녀시대,효연,
소녀시대,유리,
소녀시대,수영,
소녀시대,윤아,
소녀시대,서현,
SUPER JUNIOR,이특,
SUPER JUNIOR,희철,
SUPER JUNIOR,예성,
SUPER JUNIOR,신동,
SUPER JUNIOR,은혁,
SUPER JUNIOR,동해,
SUPER JUNIOR,시원,
SUPER JUNIOR,려욱,
SUPER JUNIOR,규현,
SUPER JUNIOR,성민,
STAYC,수민,
STAYC,시은,
STAYC,아이사,
STAYC,세은,
STAYC,윤,
STAYC,재이,
Stray Kids,방찬,
Stray Kids,리노,
Stray Kids,창빈,
Stray Kids,현진,
Stray Kids,한,
Stray Kids,필릭스,
Stray Kids,승민,
Stray Kids,아이엔,
xikers,민재,
xikers,준민,
xikers,수민,
xikers,진식,
xikers,현우,
xikers,정훈,
xikers,세은,
xikers,유준,
xikers,헌터,
xikers,예찬,
CIX,BX,
CIX,승훈,
CIX,용희,
CIX,현석,
ASTRO,차은우,
ASTRO,문빈,
ASTRO,MJ,
ASTRO,진진,
ASTRO,윤산하,
i-dle,미연,
i-dle,민니,
i-dle,소연,
i-dle,우기,
i-dle,슈화,
IVE,안유진,
IVE,가을,
IVE,레이,
IVE,장원영,
IVE,리즈,
IVE,이서,
iKON,김진환,
iKON,BOBBY,
iKON,송윤형,
iKON,구준회,
iKON,DK,
iKON,정찬우,
아일릿,윤아,
아일릿,민주,
아일릿,모카,
아일릿,원희,
아일릿,이로하,
&TEAM,의주,
&TEAM,후마,
&TEAM,케이,
&TEAM,니콜라스,
&TEAM,유마,
&TEAM,조,
&TEAM,하루아,
&TEAM,타키,
&TEAM,마키,
앰퍼샌드원,나캠든,
앰퍼샌드원,브라이언,
앰퍼샌드원,최지호,
앰퍼샌드원,윤시윤,
앰퍼샌드원,카이렐,
앰퍼샌드원,마카야,
앰퍼샌드원,김승모,
SF9,영빈,
SF9,인성,
SF9,재윤,
SF9,다원,
SF9,주호,
SF9,유태양,
SF9,휘영,
SF9,찬희,
aespa,카리나,
aespa,윈터,
aespa,지젤,
aespa,닝닝,
AB6IX,전웅,
AB6IX,김동현,
AB6IX,박우진,
AB6IX,이대휘,
ATBO,오준석,
ATBO,류준민,
ATBO,배현준,
ATBO,정승환,
ATBO,김연규,
ATBO,원빈,
ATEEZ,홍중,
ATEEZ,성화,
ATEEZ,윤호,
ATEEZ,여상,
ATEEZ,산,
ATEEZ,민기,
ATEEZ,우영,
ATEEZ,종호,
82MAJOR,남성모,
82MAJOR,박석준,
82MAJOR,윤예찬,
82MAJOR,조성일,
82MAJOR,황성빈,
82MAJOR,김도균,
Apink,박초롱,
Apink,윤보미,
Apink,정은지,
Apink,김남주,
Apink,오하영,
8TURN,재윤,
8TURN,명호,
8TURN,민호,
8TURN,윤성,
8TURN,혜민,
8TURN,경민,
8TURN,윤규,
8TURN,승헌,
EXO,수호,
EXO,찬열,
EXO,카이,
EXO,디오,
EXO,백현,
EXO,세훈,
EXO,시우민,
EXO,첸,
EXO,레이,
Xdinary Heroses,건일,
Xdinary Heroses,정수,
Xdinary Heroses,가온,
Xdinary Heroses,O.de,
Xdinary Heroses,Jun Han,
Xdinary Heroses,주연,
NMIXX,릴리,
NMIXX,해원,
NMIXX,설윤,
NMIXX,배이,
NMIXX,지우,
NMIXX,규진,
NCT,쟈니,
NCT,태용,
NCT,유타,
NCT,도영,
NCT,텐,
NCT,재현,
NCT,윈윈,
NCT,마크,
NCT,런쥔,
NCT,제노,
NCT,해찬,
NCT,재민,
NCT,천러,
NCT,지성,
NCT,정우,
NCT,쿤,
NCT,샤오쥔,
NCT,양양,
NCT,헨드리,
NCT,시온,
NCT,유우시,
NCT,리쿠,
NCT,사쿠야,
NCT,료,
NCT,재희,
NCT 127,쟈니,
NCT 127,태용,
NCT 127,유타,
NCT 127,도영,
NCT 127,재현,
NCT 127,윈윈,
NCT 127,마크,
NCT 127,해찬,
NCT 127,정우,
NCT DREAM,마크,
NCT DREAM,런쥔,
NCT DREAM,제노,
NCT DREAM,해찬,
NCT DREAM,재민,
NCT DREAM,천러,
NCT DREAM,지성,
NCT WISH,시온,
NCT WISH,유우시,
NCT WISH,리쿠,
NCT WISH,사쿠야,
NCT WISH,료,
NCT WISH,재희,
엔플라잉,이승협,
엔플라잉,차훈,
엔플라잉,김재현,
엔플라잉,유회승,
엔플라잉,서동성,
엔하이픈,정원,
엔하이픈,희승,
엔하이픈,제이,
엔하이픈,제이크,
엔하이픈,성훈,
엔하이픈,선우,
엔하이픈,니키,
여자친구,소원,
여자친구,예린,
여자친구,은하,
여자친구,유주,
여자친구,신비,
여자친구,엄지,
오마이걸,효정,
오마이걸,미미,
오마이걸,유아,
오마이걸,승희,
오마이걸,유빈,
오마이걸,아린,
OnlyOneOf,나인,
OnlyOneOf,Mill,
OnlyOneOf,리에,
OnlyOneOf,준지,
OnlyOneOf,유정,
OnlyOneOf,규빈,
온앤오프,효진,
온앤오프,이션,
온앤오프,승준,
온앤오프,와이엇,
온앤오프,민균,
온앤오프,유,
WOOAH,나나,
WOOAH,우연,
WOOAH,소라,
WOOAH,루시,
WOOAH,민서,
우주소녀,엑시,
우주소녀,설아,
우주소녀,보나,
우주소녀,수빈,
우주소녀,은서,
우주소녀,여름,
우주소녀,다영,
우주소녀,연정,
우주소녀,루다,
우주소녀,다원,
원어스,서호,
원어스,이도,
원어스,건희,
원어스,환웅,
원어스,시온,
ONE PACT,종우,
ONE PACT,성민,
ONE PACT,태그,
ONE PACT,예담,
ONE PACT,제이창,
WINNER,강승윤,
WINNER,김진우,
WINNER,송민호,
WINNER,이승훈,
위아이,장대현,
위아이,김동한,
위아이,유용하,
위아이,김요한,
위아이,강석화,
위아이,김준서,
YOUNITE,은호,
YOUNITE,스티브,
YOUNITE,은상,
YOUNITE,형석,
YOUNITE,우노,
YOUNITE,DEY,
YOUNITE,경문,
YOUNITE,시온,
UNIS,진현주,
UNIS,나나,
UNIS,젤리당카,
UNIS,코토코,
UNIS,방윤하,
UNIS,엘리시아,
UNIS,오윤아,
UNIS,임서원,
EVNNE,케이타,
EVNNE,박한빈,
EVNNE,이정현,
EVNNE,유승언,
EVNNE,지윤서,
EVNNE,문정현,
EVNNE,박지후,
izna,마이,
izna,방지민,
izna,윤지윤,
izna,코코,
izna,유사랑,
izna,최정은,
izna,정세비,
EPEX,위시,
EPEX,금동현,
EPEX,뮤,
EPEX,아민,
EPEX,백승,
EPEX,에이든,
EPEX,예왕,
EPEX,제프,
인피니트,김성규,
인피니트,남우현,
인피니트,이성열,
인피니트,엘,
인피니트,이성종,
